text,label
"Lho!!!! Dia Yg Minta IKN , Kok Otorita. Di Bebani!! Ya Modarlah?",negative
Belum jadi kok sudah mau memindahkan ASN Pak? Yakin kalau IKN sdh jadi bapak masih jadi Menteri?,negative
"Sampai di IKN, asn nya mengeluh...oala disini baru seminggu kerja kena DBD, malaria ... gak biasa dengar suara monyet, ular dan kadang2 anak buaya didepan rumah...sabar ya asn",negative
"Emang ikn jadi kapan? Kayak dia masih menjabat aja, boro-boro masih ada",negative
"Tdk semudah itu ASN wajib pindah ke IKN tahun berapa. Investor nya jg kaboor. Blm jaminan kantor2 2024 siap
Sombong banget",negative
Gak akan dapat IKN tak jelas.,negative
"Lu yakin IKN bakal mulus..?
Halu lu sama keq junjungan lu..",negative
"Semoga hanya diberi angin Surga saja ..wkwkwkwkwk
Ambyaaaar itu proyect IKN kurang Dana...",negative
"pendukung IKN dan buzzerRp pasa pindah duluan dah sono. kantor PBNU ANSOR BANSER buruan hijrah. 
@PBNU_164",negative
"Kalau utk urusan rakyat mana mau Pmrnth berikan subsidi … tp kalau utk proyek inftastruktur, IKN, APBN siap digelontorkan.",negative
Merehabilitasi hutan???.bukannya hutannya ditebang mau dijadikan IKN..,negative
Rasa-rasanya IKN masih hutan aja si Tjahjo udah dikeluarin duluan sama Izro’il Prof…,negative
"Bayak burung2,  binatang langka dan tumbuhan2 langka  yg akan hilang. Jika ikn benar2 jadi dipindahkan, ingat dulu rajaampat sudah diperingatkan terumbukarangnya akan rusak jika di buka wisata. Akhirnya beneran terjadi kan. Belajarlah dari kasalahan2 sebelumnya.",negative
Insinyur kehutanan siluman yang merusak hutan kalimantan ratusan ribu hektar demi ambisi menambah hutang negara untuk sebuah proyek bernama Ibukota Klenik Nusantara. Taruhan berapa IKN mogok alias mangkrak alias bangkrut..!?,negative
"Bp wapres ko tenang"" aja kagak kedengaran suaranya padahal ada pendeta  minta hapus 300 ayat Al-Quran.. kemping di ikn ga keliatan..juga masalah migor adem ayem 
Semoga pa Yai sehat selalu Aamiin",negative
"Hayoo..ASN, 2024 masih pilih yg memaksa ke IKN ??",negative
"Cina diprediksi akan menyerang/invasi Taiwan di musim gugur (Agustus-September) tahun ini.
Jangan hanya sibuk urus IKN dan minyak goreng aja. Better be prepared for the worst...",negative
Palingan IKN belum apa2 sudah ganti rezim,negative
"Kalau IKN dah jadi dan fasilitasnya sudah lengkap pasti pada mau.

Kalau sekarang suruh pindah, disana suruh ngapain.

Yang disana gak ada semalam saja sudah gak betah",negative
"Kalo enak, ya silahkan anda pindah ke IKN.
Kalo kami sih jauh, kayak dari ujung kulon ke Surabaya.
Dan kami disini yg tidak setuju, memang sudah merasa nyaman akan daerah kami tanpa hiruk pikuk embel2 ibu kota.",negative
Pemindahan IKN tanda akhir zaman,negative
"Klu nggak salah, Rasulullah hijrahnya ke Madinah yg merupakan kota. Kok pindah  IKN ke tengah hutan disepertikan hijrah Rasulullah...",negative
"Krn memang sdh hbs masa jabatannya dan sdh 2 periode.

Hayolah pak, jgn gara² IKN bpk bikin statemen yg membodohi rakyat. 
Apa bapak mau ngajarin rakyat melanggar konstitusi?

Semoga tidak ada upaya utk menggolkan penundaan pemilu, perpanjangan masa jabatan, ato 3 periode. Aamiin",negative
Setelah habis kemping di IKN akhirnya harga minyak ditetapkan...,negative
Apo ado hubungannya DG bawa tanah minang ke ikn ?,negative
Gaada unta emang bisa jadi IKN?,negative
"Lantas yang tempohari ngamuk2 sampe ada yg pamer mandau terbang segala untuk menanantang penentang penetapan IKN disana, siapa dan dari kelompok mana ?",negative
Tunda IKN utk biaya menjalankan kontitusi,negative
"Biaekan saja minyak goreng mahal, daging sapi Dikuasai kartel, daging ayam mahal....kan bangun IKN tidak butuh yang begituan.....",negative
Prediksi saya IKN akan buat musibah banjir bandang dikalimantan.,negative
